Comment
Mon an rat ngon, phuc vu nhanh chong, nhan vien than thien
Do an do, cho lau, nhan vien thai do xau
Khong gian dep, gia ca hop ly, dang dong tien
Pho bo tuyet voi, nuoc dung dam da. Se quay lai
That vong, mon an nguoi lanh, khong dang gia tien
Cafe ngon, view dep, khong gian thoang mat
Nhan vien nhiet tinh, an tuong voi chat luong phuc vu
Mon an lanh, pho khong nong. Kem chat luong so voi gia
Gia re bat ngo, do an tuoi ngon. Dang dong tien
That bai hoan toan. Mon an do, phuc vu te, gia dat
Banh mi gion ngon, nhan day du, nuoc sot dac biet
Khong gian chat choi, on ao, khong phu hop gia dinh
Tra sua ngon, toping phong phu, gia hop ly
Phuc vu cham, doi 30 phut moi co mon an
Do an sach se, nguyen lieu tuoi, che bien chuyen nghiep
